current, inductance
245.01,	-132.04
245.28,	-132.24
245.55,	-132.43
245.83,	-132.63
246.10,	-132.82
246.37,	-133.02
246.65,	-133.22
246.92,	-133.41
247.19,	-133.61
247.46,	-133.80
247.74,	-134.00
248.01,	-134.19
248.28,	-134.39
248.55,	-134.58
248.83,	-134.78
249.10,	-134.98
249.37,	-135.17
249.64,	-135.37
249.92,	-135.56
250.19,	-135.76
250.46,	-135.95
250.73,	-136.15
251.01,	-136.35
251.28,	-136.54
251.55,	-136.74
251.83,	-136.93
252.10,	-137.13
252.37,	-137.32
252.64,	-137.52
252.92,	-137.72
253.19,	-137.91
253.46,	-138.11
253.73,	-138.30
254.01,	-138.50
254.28,	-138.70
254.55,	-138.89
254.82,	-139.09
255.10,	-139.28
255.37,	-139.48
255.64,	-139.67
255.91,	-139.87
256.19,	-140.07
256.46,	-140.26
256.73,	-140.46
257.01,	-140.65
257.28,	-140.85
257.55,	-141.05
257.82,	-141.24
258.10,	-141.44
258.37,	-141.63
258.64,	-141.83
258.91,	-142.03
259.19,	-142.22
259.46,	-142.42
259.73,	-142.61
260.00,	-142.81
260.28,	-143.01
260.55,	-143.20
260.82,	-143.40
261.10,	-143.60
261.37,	-143.79
261.64,	-143.99
261.91,	-144.18
262.19,	-144.38
262.46,	-144.58
262.73,	-144.77
263.00,	-144.97
263.28,	-145.16
263.55,	-145.36
263.82,	-145.56
264.09,	-145.75
264.37,	-145.95
264.64,	-146.15
264.91,	-146.34
265.18,	-146.54
265.46,	-146.73
265.73,	-146.93
266.00,	-147.13
266.28,	-147.32
266.55,	-147.52
266.82,	-147.72
267.09,	-147.91
267.37,	-148.11
267.64,	-148.31
267.91,	-148.50
268.18,	-148.70
268.46,	-148.89
268.73,	-149.09
269.00,	-149.29
269.27,	-149.48
269.55,	-149.68
269.82,	-149.88
270.09,	-150.07
270.36,	-150.27
270.64,	-150.47
270.91,	-150.66
271.18,	-150.86
271.46,	-151.06
271.73,	-151.25
272.00,	-151.45
272.27,	-151.65
272.55,	-151.84
272.82,	-152.04
273.09,	-152.24
273.36,	-152.43
273.64,	-152.63
273.91,	-152.82
274.18,	-153.02
274.45,	-153.22
274.73,	-153.41
275.00,	-153.61
275.27,	-153.81
275.54,	-154.00
275.82,	-154.20
276.09,	-154.40
276.36,	-154.59
276.64,	-154.79
276.91,	-154.99
277.18,	-155.18
277.45,	-155.38
277.73,	-155.58
278.00,	-155.77
278.27,	-155.97
278.54,	-156.17
278.82,	-156.37
279.09,	-156.56
279.36,	-156.76
279.63,	-156.96
279.91,	-157.15
280.18,	-157.35
280.45,	-157.55
280.72,	-157.74
281.00,	-157.94
281.27,	-158.14
281.54,	-158.33
281.82,	-158.53
282.09,	-158.73
282.36,	-158.92
282.63,	-159.12
282.91,	-159.32
283.18,	-159.51
283.45,	-159.71
283.72,	-159.91
284.00,	-160.11
284.27,	-160.30
284.54,	-160.50
284.81,	-160.70
285.09,	-160.89
285.36,	-161.09
285.63,	-161.29
285.90,	-161.48
286.18,	-161.68
286.45,	-161.88
286.72,	-162.08
287.00,	-162.27
287.27,	-162.47
287.54,	-162.67
287.81,	-162.86
288.09,	-163.06
288.36,	-163.26
288.63,	-163.45
288.90,	-163.65
289.18,	-163.85
289.45,	-164.05
289.72,	-164.24
289.99,	-164.44
290.27,	-164.64
290.54,	-164.83
290.81,	-165.03
291.09,	-165.23
291.36,	-165.43
291.63,	-165.62
291.90,	-165.82
292.18,	-166.02
292.45,	-166.21
292.72,	-166.41
292.99,	-166.61
293.27,	-166.81
293.54,	-167.00
293.81,	-167.20
294.08,	-167.40
294.36,	-167.60
294.63,	-167.79
294.90,	-167.99
295.17,	-168.19
295.45,	-168.38
295.72,	-168.58
295.99,	-168.78
296.27,	-168.98
296.54,	-169.17
296.81,	-169.37
297.08,	-169.57
