Time, B_0_0_RRR_100, B_3_0_RRR_100, B_0_0_RRR_200, B_3_0_RRR_200
1.530000000000000000e+02,7.508010265345554545e-09,7.567131657212251263e-09,7.396274911443873841e-09,7.455392544864913860e-09
1.540000000000000000e+02,7.577433261003435024e-09,7.636558413310709848e-09,7.465687794229771903e-09,7.524807425676325821e-09
1.550000000000000000e+02,7.646769420189119496e-09,7.705899390523101581e-09,7.535014037412214902e-09,7.594136764052443476e-09
1.560000000000000000e+02,7.716020447293991262e-09,7.775156267007277905e-09,7.604255339475947462e-09,7.663382230934888904e-09
1.570000000000000000e+02,7.785188050613815448e-09,7.844330725770833653e-09,7.673413403042050716e-09,7.732545502401878919e-09
1.580000000000000000e+02,7.854273939741538509e-09,7.913424452024031476e-09,7.742489932249836251e-09,7.801628257007517566e-09
1.590000000000000000e+02,7.923279823166864684e-09,7.982439130741346194e-09,7.811486630346087777e-09,7.870632173330438104e-09
1.600000000000000000e+02,7.992207406069672301e-09,8.051376444418581105e-09,7.880405197468691879e-09,7.939558927718693589e-09
1.610000000000000000e+02,8.061058388295115348e-09,8.120238071013332189e-09,7.949247328612480130e-09,8.008410192218678599e-09
1.620000000000000000e+02,8.129834462498851266e-09,8.189025682057156812e-09,8.018014711765688772e-09,8.077187632676354339e-09
1.630000000000000000e+02,8.198537312451519226e-09,8.257740940928504978e-09,8.086709026206120514e-09,8.145892906999810354e-09
1.640000000000000000e+02,8.267168611492173764e-09,8.326385501276025399e-09,8.155331940946696796e-09,8.214527663572775131e-09
1.650000000000000000e+02,8.335730021120954433e-09,8.394961005582497238e-09,8.223885113320659652e-09,8.283093539809208967e-09
1.660000000000000000e+02,8.404223189721877581e-09,8.463469083860149555e-09,8.292370187697279510e-09,8.351592160839853651e-09
1.670000000000000000e+02,8.472649751407041689e-09,8.531911352468671501e-09,8.360788794319322320e-09,8.420025138321833540e-09
1.680000000000000000e+02,8.541011324974202787e-09,8.600289413047744012e-09,8.429142548254260646e-09,8.488394069363282710e-09
1.690000000000000000e+02,8.609309512970002338e-09,8.668604851556370436e-09,8.497433048451423419e-09,8.556700535555118466e-09
1.700000000000000000e+02,8.677545900851664352e-09,8.736859237411723620e-09,8.565661876897954075e-09,8.624946102102774674e-09
1.710000000000000000e+02,8.745722056240403672e-09,8.805054122720741438e-09,8.633830597866732984e-09,8.693132317050978012e-09
1.720000000000000000e+02,8.813839528260128163e-09,8.873191041597987339e-09,8.701940757249899825e-09,8.761260710595174707e-09
1.730000000000000000e+02,8.881899846955503915e-09,8.941271509563782152e-09,8.769993881971959024e-09,8.829332794473536239e-09
1.740000000000000000e+02,8.949904522783715623e-09,9.009297023016936001e-09,8.837991479476854974e-09,8.897350061433856327e-09
1.750000000000000000e+02,9.017855046174649692e-09,9.077269058776726821e-09,8.905935037283675135e-09,8.965313984770000569e-09
1.760000000000000000e+02,9.085752887154616392e-09,9.145189073689220287e-09,8.973826022606125445e-09,9.033226017922953921e-09
1.770000000000000000e+02,9.153599495028813424e-09,9.213058504293097123e-09,9.041665882030935730e-09,9.101087594141640252e-09
